length,weight,target
25.4,242.0,bream
26.3,290.0,bream
26.5,340.0,bream
29.0,363.0,bream
29.0,430.0,bream
29.7,450.0,bream
29.7,500.0,bream
30.0,390.0,bream
30.0,450.0,bream
30.7,500.0,bream
31.0,475.0,bream
31.0,500.0,bream
31.5,500.0,bream
32.0,340.0,bream
32.0,600.0,bream
32.0,600.0,bream
33.0,700.0,bream
33.0,700.0,bream
33.5,610.0,bream
33.5,650.0,bream
34.0,575.0,bream
34.0,685.0,bream
34.5,620.0,bream
35.0,680.0,bream
35.0,700.0,bream
35.0,725.0,bream
35.0,720.0,bream
36.0,714.0,bream
36.0,850.0,bream
37.0,1000.0,bream
38.5,920.0,bream
38.5,955.0,bream
39.5,925.0,bream
41.0,975.0,bream
41.0,950.0,bream
9.8,6.7,smelt
10.5,7.5,smelt
10.6,7.0,smelt
11.0,9.7,smelt
11.2,9.8,smelt
11.3,8.7,smelt
11.8,10.0,smelt
11.8,9.9,smelt
12.0,9.8,smelt
12.2,12.2,smelt
12.4,13.4,smelt
13.0,12.2,smelt
14.3,19.7,smelt
15.0,19.9,smelt
